Date,Open,High,Low,Close,Adjusted_close,Volume
2023-07-04,8.14,8.29,8.06,8.28,8.1888,33709
2023-07-05,8.3,8.33,8.2,8.26,8.169,53246
2023-07-06,8.3,8.3,8.04,8.09,8.0009,43508
2023-07-07,8.01,8.14,8.0,8.0,7.9119,36885
2023-07-10,8.05,8.07,7.96,7.96,7.8723,40259
2023-07-11,7.96,8.04,7.91,8.02,7.9317,54044
2023-07-12,8.02,8.25,7.97,8.1,8.0108,70924
2023-07-13,8.21,8.26,8.08,8.1,8.0108,59294
2023-07-14,8.19,8.66,8.17,8.6,8.5053,223395
2023-07-17,8.58,8.88,8.43,8.43,8.3372,98281
2023-07-18,8.46,8.57,8.4,8.56,8.4657,50274
2023-07-19,8.6,8.8,8.3,8.69,8.5943,77237
2023-07-20,8.8,8.88,8.6,8.8,8.7031,120494
2023-07-21,8.8,8.94,8.6,8.93,8.8317,81583
2023-07-24,8.94,9.05,8.85,8.85,8.7525,55966
2023-07-25,8.86,9.1,8.86,9.05,8.9503,34564
2023-07-26,9.09,9.09,8.84,8.95,8.8514,49438
2023-07-27,8.99,9.06,8.9,8.96,8.8613,29900
2023-07-28,9.0,9.03,8.64,8.83,8.7328,51990
2023-07-31,8.93,9.2,8.9,9.08,8.98,150639
2023-08-01,8.77,8.9,8.63,8.7,8.7,41473
2023-08-02,8.65,8.7,8.5,8.55,8.55,18275
2023-08-03,8.5,8.6,8.28,8.4,8.4,28982
2023-08-04,8.38,8.49,8.14,8.15,8.15,77916
2023-08-07,8.19,8.33,8.15,8.2,8.2,73506
2023-08-08,8.27,8.29,8.1,8.28,8.28,24144
2023-08-09,8.26,8.28,8.2,8.28,8.28,12086
2023-08-10,8.25,8.32,8.12,8.22,8.22,18562
2023-08-11,8.3,8.31,8.12,8.17,8.17,14194
2023-08-14,8.16,8.27,8.02,8.16,8.16,13115
2023-08-16,8.24,8.24,8.06,8.17,8.17,9960
2023-08-17,8.03,8.17,7.95,8.06,8.06,46875
2023-08-18,8.0,8.1,7.95,7.96,7.96,22158
2023-08-21,7.95,8.09,7.94,7.98,7.98,43182
2023-08-22,8.1,8.2,7.96,7.97,7.97,30630
2023-08-23,8.0,8.06,7.96,7.97,7.97,18713
2023-08-24,7.97,8.0,7.88,7.88,7.88,26445
2023-08-25,7.88,7.97,7.82,7.96,7.96,14737
2023-08-28,7.98,8.0,7.95,8.0,8.0,14389
2023-08-29,8.0,8.08,7.9,7.97,7.97,20920
2023-08-30,7.97,8.1,7.95,8.09,8.09,15190
2023-08-31,8.07,8.13,8.0,8.13,8.13,18143
