Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-31,39.75,39.85,38.75,39.75,39.75,1672
2023-02-01,38.0,39.9,36.5,37.9,37.9,18906
2023-02-02,37.8,38.6,37.3,37.7,37.7,5627
2023-02-03,38.25,38.25,37.35,37.55,37.55,3178
2023-02-06,37.3,37.4,36.75,36.95,36.95,6507
2023-02-07,36.95,37.1,36.5,37.0,37.0,1811
2023-02-08,37.0,38.5,36.4,37.2,37.2,5247
2023-02-09,37.2,38.5,36.6,37.2,37.2,3053
2023-02-10,37.2,37.2,36.2,37.0,37.0,1414
2023-02-13,37.0,37.0,36.15,36.6,36.6,1161
2023-02-14,36.9,37.0,36.0,37.0,37.0,1812
2023-02-15,37.0,38.05,36.5,38.0,38.0,3099
2023-02-16,38.0,38.0,37.0,37.8,37.8,473
2023-02-17,37.95,37.95,36.45,37.2,37.2,3236
2023-02-20,37.1,37.1,37.0,37.0,37.0,1160
2023-02-21,36.9,37.8,36.9,37.5,37.5,2906
2023-02-22,37.7,37.7,36.5,37.0,37.0,884
2023-02-23,37.0,37.0,36.7,37.0,37.0,354
2023-02-24,37.2,37.2,36.65,36.95,36.95,1092
2023-02-27,36.65,37.2,36.65,37.2,37.2,1034
2023-02-28,37.2,37.2,36.65,36.8,36.8,525
2023-03-01,36.8,37.2,36.8,37.2,37.2,1387
2023-03-02,37.4,37.4,36.3,36.3,36.3,1366
2023-03-03,36.6,36.85,36.35,36.5,36.5,567
2023-03-06,36.75,37.3,36.75,37.1,37.1,1744
2023-03-07,37.1,37.4,36.6,37.4,37.4,2843
2023-03-08,37.0,37.3,36.8,37.3,37.3,192
2023-03-09,37.3,37.3,35.95,36.55,36.55,4921
2023-03-10,35.95,36.6,35.55,36.15,36.15,2716
2023-03-13,36.05,36.05,35.0,35.75,35.75,2346
2023-03-14,35.75,35.75,35.2,35.65,35.65,592
2023-03-15,35.65,35.65,34.2,34.95,34.95,2731
2023-03-16,34.95,34.95,34.0,34.95,34.95,671
2023-03-17,34.95,35.75,34.9,35.0,35.0,5480
2023-03-20,35.0,36.0,35.0,36.0,36.0,1565
2023-03-21,37.0,37.4,35.25,37.35,37.35,3338
2023-03-22,37.3,37.9,37.0,37.9,37.9,1688
2023-03-23,37.1,37.9,37.05,37.9,37.9,569
2023-03-24,37.9,37.9,36.95,37.8,37.8,1719
2023-03-27,37.9,37.9,36.7,37.1,37.1,2151
2023-03-28,37.1,37.1,36.55,36.75,36.75,576
2023-03-29,40.0,41.75,38.2,40.95,40.95,22382
2023-03-30,41.0,41.65,39.5,40.5,40.5,10680
2023-03-31,40.5,40.55,40.0,40.1,40.1,2827
2023-04-03,40.85,40.85,39.9,40.0,40.0,944
2023-04-04,40.2,40.2,39.5,39.6,39.6,767
2023-04-05,40.0,40.0,38.6,39.2,39.2,764
2023-04-06,39.4,39.4,38.4,38.4,38.4,1081
2023-04-11,38.4,39.95,38.4,38.9,38.9,714
2023-04-12,38.95,39.15,38.65,38.8,38.8,2149
2023-04-13,39.0,39.4,38.65,39.4,39.4,1435
