Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-29,59.8,59.9,59.4,59.9,59.9,2562
2022-11-30,59.86,60.71,59.86,60.31,60.31,3566
2022-12-01,60.96,61.15,60.36,60.77,60.77,5358
2022-12-02,60.93,61.0,60.39,60.9,60.9,3980
2022-12-05,61.41,61.5,60.8,60.8,60.8,3150
2022-12-06,60.58,60.58,59.34,59.34,59.34,7737
2022-12-07,59.01,59.81,59.01,59.67,59.67,2039
2022-12-08,59.5,59.53,59.0,59.19,59.19,1684
2022-12-09,59.56,59.56,59.09,59.27,59.27,3170
2022-12-12,59.49,59.82,59.13,59.8,59.8,3149
2022-12-13,60.0,60.74,59.6,60.71,60.71,8035
2022-12-14,60.71,61.21,60.45,60.87,60.87,2198
2022-12-15,60.77,60.77,59.1,59.1,59.1,4224
2022-12-16,59.0,59.49,58.49,58.61,58.61,4545
2022-12-19,59.0,59.7,59.0,59.35,59.35,2990
2022-12-20,59.26,59.9,58.86,59.9,59.9,3002
2022-12-21,60.02,60.61,59.88,60.61,60.61,9179
2022-12-22,60.7,60.91,60.17,60.23,60.23,2275
2022-12-23,60.73,60.73,59.8,60.11,60.11,1907
2022-12-27,60.5,60.5,59.39,59.59,59.59,4091
2022-12-28,59.82,59.82,59.23,59.55,59.55,4499
2022-12-29,59.78,60.45,59.61,60.45,60.45,5239
2022-12-30,60.69,60.97,60.25,60.97,60.97,36464
2023-01-02,61.42,61.75,61.0,61.47,61.47,5925
2023-01-03,62.0,63.26,61.84,63.0,63.0,7353
2023-01-04,63.62,64.3,63.41,64.26,64.26,9118
2023-01-05,64.3,65.15,63.91,64.38,64.38,7491
2023-01-09,65.05,65.78,64.72,65.19,65.19,9807
2023-01-10,65.15,65.42,64.7,65.2,65.2,6002
2023-01-11,65.5,65.8,64.4,64.4,64.4,6094
2023-01-12,64.28,65.19,64.28,64.88,64.88,4908
2023-01-13,65.0,65.28,64.4,64.58,64.58,4952
2023-01-16,64.7,64.85,64.09,64.67,64.67,5131
2023-01-17,64.5,64.59,63.66,63.66,63.66,5906
2023-01-18,63.98,64.0,63.36,63.42,63.42,2872
2023-01-19,63.25,63.4,62.5,63.18,63.18,4850
2023-01-20,63.18,63.9,63.18,63.9,63.9,5456
2023-01-23,64.0,64.63,64.0,64.37,64.37,7729
2023-01-24,64.92,65.12,64.01,64.15,64.15,3164
2023-01-25,63.96,63.96,62.83,62.91,62.91,3684
2023-01-26,63.31,63.84,63.31,63.56,63.56,2187
2023-01-27,63.56,63.91,63.56,63.65,63.65,2257
2023-01-30,63.6,63.6,62.6,62.62,62.62,4527
2023-01-31,62.56,64.69,62.44,64.69,64.69,4881
2023-02-01,64.8,64.8,64.0,64.06,64.06,4780
2023-02-02,64.86,65.0,64.02,64.7,64.7,3569
2023-02-03,64.7,65.11,64.36,64.94,64.94,3278
2023-02-06,64.85,65.0,63.94,63.94,63.94,3839
2023-02-07,64.1,64.3,63.51,64.17,64.17,6766
2023-02-08,64.68,64.76,64.2,64.48,64.48,3214
2023-02-09,64.62,65.85,64.62,65.49,65.49,6003
2023-02-10,65.47,65.5,63.85,64.35,64.35,5032
2023-02-13,64.6,64.6,63.82,64.16,64.16,1563
2023-02-14,64.4,64.72,64.19,64.2,64.2,1919
2023-02-15,64.13,64.68,63.96,64.63,64.63,2020
2023-02-16,65.1,65.38,64.2,65.22,65.22,2964
2023-02-17,64.9,65.24,64.49,65.02,65.02,1307
2023-02-20,65.35,65.37,64.69,64.97,64.97,1071
2023-02-21,64.94,64.97,63.89,64.18,64.18,2026
2023-02-22,64.0,64.0,63.0,63.4,63.4,6884
2023-02-23,63.37,64.02,63.37,64.02,64.02,3835
2023-02-24,64.0,64.42,63.5,63.9,63.9,2042
